
[1mInitial resource allocation (minimum time criterium):[0m
  T28 -> HC2_16 [startTime: 217, endTime: 236]
  T29 -> HC2_17 [startTime: 236, endTime: 281]
  T30 -> HC2_18 [startTime: 236, endTime: 242]
  T31 -> HC2_19 [startTime: 236, endTime: 267]
  T32 -> HC2_20 [startTime: 236, endTime: 253]
  T33 -> HC1_11 [startTime: 8, endTime: 36]
  T34 -> HC1_12 [startTime: 8, endTime: 51]
  T35 -> HC2_21 [startTime: 8, endTime: 27]
  T36 -> HC1_13 [startTime: 8, endTime: 30]
  T37 -> HC2_22 [startTime: 78, endTime: 91]
  T38 -> HC2_23 [startTime: 148, endTime: 163]
  T39 -> HC1_14 [startTime: 267, endTime: 280]
  T40 -> HC2_24 [startTime: 267, endTime: 326]
  T41 -> HC2_25 [startTime: 267, endTime: 342]
  T42 -> HC1_15 [startTime: 78, endTime: 78]
  T43 -> HC1_16 [startTime: 78, endTime: 93]
  T44 -> HC2_26 [startTime: 30, endTime: 51]
  T45 -> HC1_17 [startTime: 163, endTime: 168]
  T46 -> HC1_18 [startTime: 93, endTime: 105]
  T47 -> HC2_27 [startTime: 93, endTime: 115]
  T48 -> HC2_28 [startTime: 93, endTime: 158]
  T49 -> HC1_19 [startTime: 51, endTime: 79]
  T50 -> HC1_20 [startTime: 51, endTime: 80]
  T51 -> HC1_21 [startTime: 51, endTime: 100]
  T52 -> HC1_22 [startTime: 51, endTime: 54]
  T53 -> HC1_23 [startTime: 242, endTime: 278]
  T54 -> HC1_24 [startTime: 224, endTime: 247]
  T55 -> HC2_29 [startTime: 158, endTime: 164]
  T56 -> HC2_30 [startTime: 158, endTime: 174]
  T57 -> HC1_25 [startTime: 158, endTime: 184]
  T58 -> HC2_31 [startTime: 158, endTime: 232]
  T59 -> HC2_32 [startTime: 278, endTime: 335]
  T60 -> HC2_33 [startTime: 278, endTime: 319]
  T61 -> HC1_26 [startTime: 278, endTime: 297]
  T62 -> HC1_27 [startTime: 30, endTime: 49]
  T63 -> HC1_28 [startTime: 49, endTime: 135]
  T64 -> HC2_34 [startTime: 100, endTime: 160]
  T65 -> HC1_29 [startTime: 100, endTime: 129]
  T66 -> HC1_30 [startTime: 100, endTime: 105]
  T67 -> HC1_31 [startTime: 78, endTime: 80]
  T68 -> HC2_35 [startTime: 49, endTime: 59]
  T69 -> HC1_32 [startTime: 49, endTime: 58]
  T70 -> HC2_36 [startTime: 100, endTime: 101]
  T71 -> HC1_33 [startTime: 129, endTime: 150]
  T72 -> HC1_34 [startTime: 129, endTime: 172]
  T73 -> HC1_35 [startTime: 297, endTime: 323]
  T74 -> HC1_36 [startTime: 297, endTime: 321]
  T75 -> HC2_37 [startTime: 297, endTime: 305]
  T76 -> HC1_37 [startTime: 247, endTime: 303]
  T77 -> HC1_38 [startTime: 232, endTime: 255]
  T78 -> HC1_39 [startTime: 232, endTime: 241]
  T79 -> HC2_38 [startTime: 217, endTime: 253]
  T80 -> HC2_39 [startTime: 59, endTime: 97]
  T81 -> HC2_40 [startTime: 150, endTime: 152]
  T82 -> HC1_40 [startTime: 305, endTime: 348]
  T83 -> HC2_41 [startTime: 196, endTime: 251]
  T84 -> HC2_42 [startTime: 196, endTime: 258]
  T85 -> HC2_43 [startTime: 196, endTime: 251]
  T86 -> HC1_41 [startTime: 196, endTime: 223]
  T87 -> HC1_42 [startTime: 95, endTime: 99]
  T88 -> HC1_43 [startTime: 80, endTime: 114]
  T89 -> HC2_44 [startTime: 80, endTime: 92]
  T90 -> HC1_44 [startTime: 232, endTime: 249]
  T91 -> HC1_45 [startTime: 184, endTime: 201]
  T92 -> HC1_46 [startTime: 146, endTime: 170]
  T93 -> HC2_45 [startTime: 146, endTime: 186]
  T94 -> HC1_47 [startTime: 114, endTime: 168]
  T95 -> HC1_48 [startTime: 114, endTime: 174]
  T96 -> HC1_49 [startTime: 114, endTime: 167]
  T97 -> HC1_50 [startTime: 167, endTime: 182]
  T98 -> HC1_51 [startTime: 27, endTime: 59]
  T99 -> HC2_46 [startTime: 105, endTime: 118]
  T100 -> HC2_47 [startTime: 51, endTime: 70]
  T101 -> HC1_52 [startTime: 335, endTime: 336]
  T102 -> HC1_53 [startTime: 336, endTime: 353]
  T103 -> HC2_48 [startTime: 336, endTime: 408]
  T104 -> HC1_54 [startTime: 336, endTime: 362]
  T105 -> HC1_55 [startTime: 362, endTime: 425]
  T106 -> HC1_56 [startTime: 174, endTime: 246]
  T107 -> HC1_57 [startTime: 148, endTime: 161]
  T108 -> HC1_58 [startTime: 201, endTime: 235]
  T109 -> HC2_49 [startTime: 127, endTime: 137]
  T110 -> HC1_59 [startTime: 127, endTime: 141]
  T111 -> HC2_50 [startTime: 127, endTime: 167]
  T112 -> HC1_60 [startTime: 127, endTime: 156]
  T113 -> HC1_61 [startTime: 101, endTime: 123]
  T114 -> HC1_62 [startTime: 101, endTime: 115]
  T115 -> HC2_51 [startTime: 101, endTime: 112]
  T116 -> HC2_52 [startTime: 129, endTime: 163]
  T117 -> HC2_53 [startTime: 246, endTime: 249]
  T118 -> HC2_54 [startTime: 246, endTime: 292]
  T119 -> HC2_55 [startTime: 246, endTime: 262]
  T120 -> HC1_63 [startTime: 174, endTime: 208]
  T121 -> HC1_64 [startTime: 253, endTime: 286]
  T122 -> HC2_56 [startTime: 281, endTime: 291]
  T123 -> HC2_57 [startTime: 80, endTime: 101]
  T124 -> HC2_58 [startTime: 168, endTime: 216]
  T125 -> HC1_65 [startTime: 97, endTime: 149]
  T126 -> HC2_59 [startTime: 97, endTime: 133]
  T127 -> HC2_60 [startTime: 168, endTime: 186]
  T128 -> HC1_66 [startTime: 168, endTime: 193]
  T129 -> HC1_67 [startTime: 90, endTime: 102]
  T130 -> HC1_68 [startTime: 280, endTime: 280]
  T131 -> HC2_61 [startTime: 135, endTime: 205]
  T132 -> HC1_69 [startTime: 156, endTime: 196]
  T133 -> HC2_62 [startTime: 156, endTime: 179]
  T134 -> HC2_63 [startTime: 156, endTime: 196]
  T135 -> HC1_70 [startTime: 49, endTime: 56]
  T136 -> HC2_64 [startTime: 362, endTime: 380]
  T137 -> HC1_71 [startTime: 172, endTime: 215]
  T138 -> HC1_72 [startTime: 118, endTime: 142]
  T139 -> HC2_65 [startTime: 118, endTime: 130]
  T140 -> HC2_66 [startTime: 133, endTime: 138]
  T141 -> HC2_67 [startTime: 208, endTime: 265]
  T142 -> HC2_68 [startTime: 78, endTime: 93]
  T143 -> HC1_73 [startTime: 78, endTime: 91]
  T144 -> HC2_69 [startTime: 78, endTime: 97]
  T145 -> HC2_70 [startTime: 78, endTime: 86]
  T146 -> HC2_71 [startTime: 97, endTime: 114]
  T147 -> HC1_74 [startTime: 97, endTime: 124]
  T148 -> HC2_72 [startTime: 97, endTime: 99]
  T149 -> HC1_75 [startTime: 97, endTime: 119]
  T150 -> HC1_76 [startTime: 160, endTime: 162]
  T151 -> HC2_73 [startTime: 86, endTime: 92]
  T152 -> HC1_77 [startTime: 86, endTime: 97]
  T153 -> HC2_74 [startTime: 86, endTime: 117]
  T154 -> HC2_75 [startTime: 86, endTime: 116]
  T155 -> HC1_78 [startTime: 79, endTime: 130]
  T156 -> HC1_79 [startTime: 167, endTime: 179]
  T157 -> HC1_80 [startTime: 167, endTime: 210]
  T158 -> HC1_81 [startTime: 167, endTime: 197]
  T159 -> HC2_76 [startTime: 91, endTime: 97]
  T160 -> HC1_82 [startTime: 80, endTime: 105]
  T161 -> HC2_77 [startTime: 80, endTime: 125]
  T162 -> HC1_83 [startTime: 80, endTime: 135]
  T163 -> HC1_84 [startTime: 80, endTime: 94]
  T164 -> HC1_85 [startTime: 172, endTime: 203]
  T165 -> HC2_78 [startTime: 353, endTime: 354]
  T166 -> HC1_86 [startTime: 353, endTime: 420]
